Timestamp,CPU,Memory
1767693058.73054,0.73%,4.472GiB
1767693061.2398012,2.80%,4.473GiB
1767693063.249701,287.47%,4.517GiB
1767693065.258074,181.63%,4.523GiB
1767693067.26639,125.79%,4.529GiB
1767693069.276313,106.14%,4.531GiB
1767693071.280802,114.03%,4.534GiB
1767693073.28862,160.62%,4.543GiB
1767693075.2913768,253.92%,4.553GiB
1767693077.300056,113.81%,4.55GiB
1767693079.2992551,121.69%,4.552GiB
1767693081.310396,189.69%,4.555GiB
1767693083.322567,121.01%,4.559GiB
1767693085.328367,99.42%,4.562GiB
1767693087.334849,144.56%,4.564GiB
1767693089.339026,164.07%,4.568GiB
1767693091.34626,89.88%,4.566GiB
1767693093.3545809,99.22%,4.569GiB
1767693095.359384,154.95%,4.571GiB
1767693097.365972,94.59%,4.57GiB
1767693099.369225,97.75%,4.572GiB
1767693101.376561,145.03%,4.574GiB
1767693103.380862,130.08%,4.576GiB
1767693105.3828092,97.16%,4.575GiB
1767693107.3922071,94.36%,4.577GiB
1767693109.397182,154.85%,4.579GiB
1767693111.404507,98.45%,4.58GiB
1767693113.4045272,97.51%,4.582GiB
1767693115.411165,144.70%,4.584GiB
1767693117.416536,93.89%,4.583GiB
1767693119.428425,92.67%,4.585GiB
1767693121.4278002,169.84%,4.587GiB
1767693123.440193,110.91%,4.575GiB
1767693125.450241,97.79%,4.577GiB
1767693127.4573,110.96%,4.579GiB
1767693129.464799,133.96%,4.581GiB
1767693131.468504,98.87%,4.582GiB
1767693133.47474,98.50%,4.584GiB
1767693135.483009,137.95%,4.586GiB
1767693137.4879549,120.56%,4.587GiB
1767693139.489899,92.97%,4.587GiB
1767693141.500177,104.13%,4.589GiB
1767693143.506927,140.68%,4.591GiB
1767693145.514417,96.03%,4.59GiB
1767693147.517066,97.65%,4.592GiB
1767693149.531608,94.38%,4.594GiB
1767693151.536784,94.12%,4.595GiB
1767693153.537199,96.28%,4.597GiB
1767693155.5528479,108.82%,4.599GiB
1767693157.555495,156.59%,4.602GiB
1767693159.563978,137.33%,4.604GiB
1767693161.564522,100.86%,4.603GiB
1767693163.571894,98.35%,4.605GiB
1767693165.592273,99.26%,4.607GiB
1767693167.589955,161.49%,4.609GiB
1767693169.6051068,121.13%,4.609GiB
1767693171.6121962,99.77%,4.611GiB
1767693173.617405,147.75%,4.614GiB
1767693175.6359198,138.44%,4.615GiB
1767693177.6426828,96.78%,4.614GiB
1767693179.6417768,100.30%,4.617GiB
1767693181.650319,166.58%,4.619GiB
1767693183.665195,145.82%,4.605GiB
1767693185.666062,100.93%,4.606GiB
1767693187.675004,130.05%,4.608GiB
1767693189.680869,133.64%,4.61GiB
1767693191.6873002,186.16%,4.613GiB
1767693193.693516,143.61%,4.614GiB
1767693195.702276,122.68%,4.616GiB
1767693197.704298,134.11%,4.618GiB
1767693199.7101681,179.87%,4.62GiB
1767693201.7163599,155.84%,4.623GiB
1767693203.733112,145.95%,4.624GiB
1767693205.735154,133.89%,4.626GiB
1767693207.7423308,203.83%,4.629GiB
1767693209.8222048,169.98%,4.632GiB
1767693211.7748759,118.99%,4.633GiB
1767693213.788642,222.96%,4.645GiB
1767693215.79324,113.19%,4.635GiB
1767693217.805957,215.37%,4.628GiB
1767693219.8098829,106.14%,4.629GiB
1767693221.822591,122.17%,4.631GiB
1767693223.8401542,232.13%,4.638GiB
1767693225.849043,154.26%,4.643GiB
1767693227.854593,138.20%,4.644GiB
1767693229.8706272,88.87%,4.645GiB
1767693231.878921,157.80%,4.646GiB
1767693233.888811,93.95%,4.647GiB
1767693235.8958569,174.70%,4.649GiB
1767693237.905834,97.57%,4.648GiB
1767693239.911942,171.99%,4.651GiB
1767693241.925196,95.10%,4.65GiB
1767693243.9377038,134.91%,4.652GiB
1767693245.966951,90.85%,4.651GiB
1767693247.96695,90.97%,4.652GiB
1767693249.969968,94.23%,4.655GiB
1767693251.9707031,95.72%,4.655GiB
1767693253.991491,178.32%,4.658GiB
1767693255.991713,96.57%,4.658GiB
1767693258.004718,129.39%,4.66GiB
1767693260.007575,109.49%,4.66GiB
1767693262.0187159,90.26%,4.661GiB
1767693264.030889,142.87%,4.663GiB
1767693266.043133,106.02%,4.663GiB
1767693268.039287,159.88%,4.666GiB
1767693270.045603,95.91%,4.666GiB
1767693272.049166,94.79%,4.667GiB
1767693274.0666811,156.23%,4.669GiB
1767693276.0724921,99.14%,4.669GiB
1767693278.080402,147.42%,4.659GiB
1767693280.090525,98.43%,4.66GiB
1767693282.096545,103.01%,4.662GiB
1767693284.110189,145.05%,4.663GiB
1767693286.121098,95.16%,4.663GiB
1767693288.124613,137.28%,4.665GiB
1767693290.1401012,99.44%,4.665GiB
1767693292.139749,163.93%,4.667GiB
1767693294.18133,227.92%,4.668GiB
1767693296.185589,129.80%,4.669GiB
1767693298.184468,124.73%,4.67GiB
1767693300.189816,126.87%,4.671GiB
1767693302.1964538,131.67%,4.672GiB
1767693304.221705,190.81%,4.674GiB
1767693306.218511,156.69%,4.674GiB
1767693308.2360551,137.16%,4.675GiB
1767693310.245246,192.46%,4.684GiB
1767693312.248496,167.56%,4.686GiB
1767693314.266859,137.05%,4.688GiB
1767693316.271796,212.31%,4.691GiB
1767693318.283478,245.46%,4.71GiB
1767693320.2976582,154.66%,4.666GiB
1767693322.301095,212.89%,4.668GiB
1767693324.33852,63.78%,4.668GiB
1767693326.3464441,29.39%,4.669GiB
1767693328.352105,29.74%,4.67GiB
1767693330.358012,116.70%,4.672GiB
1767693332.361096,100.58%,4.677GiB
1767693334.370131,100.22%,4.68GiB
1767693336.374969,102.76%,4.685GiB
1767693338.3835242,99.99%,4.689GiB
1767693340.386376,100.07%,4.693GiB
1767693342.3943849,123.77%,4.699GiB
1767693344.403546,110.41%,4.702GiB
1767693346.405709,100.54%,4.705GiB
1767693348.408971,100.31%,4.707GiB
1767693350.413376,107.96%,4.709GiB
1767693352.424923,104.73%,4.709GiB
1767693354.449257,106.90%,4.711GiB
1767693356.458011,102.85%,4.711GiB
1767693358.470711,109.46%,4.712GiB
1767693360.490263,102.23%,4.713GiB
1767693362.490196,100.71%,4.714GiB
1767693364.513056,108.17%,5.364GiB
1767693366.516371,101.08%,5.396GiB
1767693368.522296,100.11%,5.399GiB
1767693370.529472,99.14%,4.662GiB
1767693372.536871,402.45%,4.693GiB
1767693374.5461178,403.44%,4.698GiB
1767693376.563002,388.25%,4.702GiB
1767693378.568917,405.85%,4.703GiB
