Timestamp,CPU,Memory
1767692816.077464,0.09%,108.6MiB
1767692818.593364,7.94%,119.5MiB
1767692820.591305,83.82%,172.8MiB
1767692822.601233,87.06%,211.6MiB
1767692824.606944,92.67%,258MiB
1767692826.6193202,81.49%,302.5MiB
1767692828.622297,89.11%,347.7MiB
1767692830.632202,93.37%,390.8MiB
1767692832.6341782,89.04%,439MiB
1767692834.6388469,88.07%,484.2MiB
1767692836.651,86.52%,527.5MiB
1767692838.659903,93.23%,573.1MiB
1767692840.661001,84.17%,619MiB
1767692842.669748,89.08%,663.3MiB
1767692844.6729019,103.39%,708.1MiB
1767692846.688582,92.26%,754.5MiB
1767692848.694071,95.53%,799.8MiB
1767692850.702492,104.39%,845MiB
1767692852.704213,89.82%,892.9MiB
1767692854.717223,88.27%,933.2MiB
1767692856.727019,100.70%,979.2MiB
1767692858.731655,93.95%,1GiB
1767692860.7439082,89.67%,1.043GiB
1767692862.747034,97.67%,1.086GiB
1767692864.756626,89.36%,1.129GiB
1767692866.761235,89.73%,1.171GiB
1767692868.773288,97.34%,1.215GiB
1767692870.7822661,93.81%,1.259GiB
1767692872.788466,90.65%,1.301GiB
1767692874.801964,109.27%,1.344GiB
1767692876.8039339,97.17%,1.386GiB
1767692878.8177972,92.65%,1.428GiB
1767692880.819532,103.25%,1.473GiB
1767692882.83121,90.13%,1.516GiB
1767692884.855938,93.71%,1.557GiB
1767692886.8612769,108.92%,1.599GiB
1767692888.8641732,94.72%,1.642GiB
1767692890.868908,91.67%,1.68GiB
1767692892.874933,98.30%,1.725GiB
1767692894.8815181,101.55%,1.766GiB
1767692896.887758,125.11%,1.807GiB
1767692898.89342,104.95%,1.85GiB
1767692900.914376,111.89%,1.887GiB
1767692902.955599,108.44%,1.921GiB
1767692904.984389,108.18%,1.953GiB
1767692906.981676,107.56%,1.989GiB
1767692908.98352,103.37%,2.03GiB
1767692910.9930701,96.07%,2.067GiB
1767692913.005394,96.42%,2.111GiB
1767692915.014252,106.04%,2.15GiB
1767692917.017997,120.35%,2.191GiB
1767692919.024259,108.30%,2.227GiB
1767692921.0319629,103.18%,2.264GiB
1767692923.039951,102.27%,2.299GiB
1767692925.049029,115.27%,2.339GiB
1767692927.0607722,128.04%,2.375GiB
1767692929.06762,105.66%,2.412GiB
1767692931.070766,127.47%,2.448GiB
1767692933.0785868,100.06%,2.482GiB
1767692935.092017,107.06%,2.52GiB
1767692937.103824,142.42%,2.552GiB
1767692939.150316,114.94%,2.586GiB
1767692941.15721,103.48%,2.622GiB
1767692943.161294,105.96%,2.661GiB
1767692945.182421,99.42%,2.698GiB
1767692947.183527,89.34%,2.786GiB
1767692949.201322,95.19%,2.824GiB
1767692951.199593,70.63%,2.862GiB
1767692953.215841,77.97%,2.896GiB
1767692955.231223,92.89%,2.936GiB
1767692957.238008,96.12%,2.974GiB
1767692959.244488,69.71%,2.941GiB
1767692961.249459,69.24%,2.976GiB
1767692963.255069,66.70%,3.008GiB
1767692965.2649112,404.29%,3.161GiB
1767692967.285401,407.15%,3.218GiB
1767692969.29935,401.87%,3.273GiB
1767692971.295292,404.46%,3.317GiB
1767692973.300104,404.87%,3.367GiB
1767692975.3124962,404.25%,3.422GiB
1767692977.322363,401.08%,3.468GiB
1767692979.329432,400.47%,3.509GiB
1767692981.348261,405.07%,3.555GiB
1767692983.367522,408.92%,3.611GiB
1767692985.3794198,404.85%,3.516GiB
1767692987.3818822,405.67%,3.444GiB
1767692989.396397,401.18%,3.492GiB
1767692991.401963,407.11%,3.55GiB
1767692993.409009,401.92%,3.577GiB
1767692995.415686,399.23%,3.634GiB
1767692997.4191968,400.17%,3.683GiB
1767692999.441909,401.08%,3.725GiB
1767693001.440469,401.43%,3.77GiB
1767693003.4664562,412.35%,3.822GiB
1767693005.498243,400.61%,4.063GiB
1767693007.509554,189.03%,3.323GiB
1767693009.5207,100.15%,3.482GiB
1767693011.5197382,99.84%,3.588GiB
1767693013.533687,111.26%,3.593GiB
1767693015.5418181,371.95%,3.318GiB
1767693017.556295,401.63%,3.452GiB
1767693019.554533,125.27%,3.342GiB
1767693021.5653021,165.64%,3.342GiB
1767693023.585263,113.50%,3.343GiB
1767693025.593947,195.84%,3.296GiB
1767693027.602526,412.28%,3.344GiB
1767693029.608449,368.90%,3.347GiB
1767693031.614229,407.68%,3.349GiB
1767693033.6268868,404.14%,3.348GiB
1767693035.643667,405.05%,3.349GiB
1767693037.642176,371.64%,3.345GiB
1767693039.656384,381.75%,3.346GiB
