Timestamp,CPU,Memory
1767692725.99849,1.04%,4.469GiB
1767692728.5101209,2.35%,4.471GiB
1767692730.5056798,269.06%,4.504GiB
1767692732.5142531,193.04%,4.517GiB
1767692734.5181491,118.54%,4.522GiB
1767692736.522463,103.71%,4.523GiB
1767692738.5275211,125.18%,4.526GiB
1767692740.5338612,168.56%,4.549GiB
1767692742.543423,210.06%,4.558GiB
1767692744.5591092,242.30%,4.564GiB
1767692746.552831,104.62%,4.572GiB
1767692748.563145,295.09%,4.577GiB
1767692750.568021,142.03%,4.59GiB
1767692752.5773351,112.12%,4.588GiB
1767692754.5862951,321.08%,4.611GiB
1767692756.583968,392.65%,4.621GiB
1767692758.596436,361.04%,4.626GiB
